(Click me, if I am too big copy and paste me into a spreadsheet or text editor)
		OBJECT NAME	LIGHTMAP INDEX	STATIC	OVERLAPPING SUBMESHES	OUT-OF-BOUNDS UVs	NUM MATS	MATERIAL	WARNINGS
	Legacy Shaders/Diffuse (363 verts): 
		BackPlane (121 verts)	-1	False	False	False	1	[BoxPlane (UnityEngine.Material)] 	
		LeftPlane (121 verts)	-1	False	False	False	1	[BoxPlane (UnityEngine.Material)] 	
		BottomPlane (121 verts)	-1	False	False	False	1	[BoxPlane (UnityEngine.Material)] 	
	Legacy Shaders/Transparent/Diffuse (363 verts): 
		BottomPlaneReversed (121 verts)	-1	False	False	False	1	[BoxPlaneReversed (UnityEngine.Material)] 	
		BackPlaneReversed (121 verts)	-1	False	False	False	1	[BoxPlaneReversed (UnityEngine.Material)] 	
		LeftPlaneReversed (121 verts)	-1	False	False	False	1	[BoxPlaneReversed (UnityEngine.Material)] 	
	Standard (1752 verts): 
		Value1_0 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value31 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value0_4 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value41 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value25 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Axis (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value0_2 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value29 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value17 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value27 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value47 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value0_5 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value0_3 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value34 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value0_4 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value28 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value20 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value19 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value3 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value0_5 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value1 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value0_9 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value26 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value7 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value5 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value24 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value0_1 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value43 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value23 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value6 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value46 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value49 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value0_8 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value40 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value0_9 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value0_7 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value1_0 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value15 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value0_2 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value32 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Axis (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value0_1 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value30 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value33 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Axis (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value9 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value8 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value50 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value16 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value13 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value0_8 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value11 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value21 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value48 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value22 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value44 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value38 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value0_6 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value2 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value39 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value12 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value18 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value4 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value42 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value14 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value0_3 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value45 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value37 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value10 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value36 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value0_6 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value35 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
		Value0_7 (24 verts)	-1	False	False	False	1	[Axis (UnityEngine.Material)] 	
